Company,Country,Web,Pavilion,Stand,Contacts,Email
Altin Hali Golestan Export Consersium,Iran,sellingcarpet.ir,11,A121,,
Bal Carpet,Kazakhstan,www.balcarpet.kz,11,А185,,
Brend ARUA,Kazakhstan,https://instagram.com/arua.almaty?igshid=NDk5N2NlZjQ=,11,А174,,
Escrdin,Kazakhstan,,11,А170,,
EVSER,Kazakhstan,,11,D190,,
Fabrika snov,Russia,http://fsnov.ru/,10,А181,,
NT Holding home textile,Uzbekistan,http://www.ntholding.uz/,10,A171,,
Sarla Antiques,India,www.passionhomes.in,11,D123,,
Shtory i Karnizy,Russia,https://karnizoptom.ru/,10,F180,,
Sima-land,Russia,www.sima-land.ru,10,A120,,
WORLD PHARMA (FZE) (UEA),Turkmenistan,,10,А 172,,
ИП Мусабек,Kazakhstan,,10,А173,,
ТОО “Aul Өneri”,Kazakhstan,,10,C 171,,
ТОО Caspiy Lana,Kazakhstan,www . caspiylana.kz,10,А174,,
