Company,Country,Web,Pavilion,Stand,Contacts,Email
BAGO HOME,Russia,www.bagohome.com,9,С110,,
BOROSIL  CIS,Kazakhstan,www.borosil.kz,9,B106,,
"Cixi Meizhi Electric Appliance Co.,Ltd",China,http://flzl.en.alibaba.com,9,E108,,
"Foshan Sylon Electrical appliances Co., Ltd ",China,Http://sylon.en.alibaba.com,9,D111,,
"Guangdong Linkfair Household Co., Ltd",China,,9,D115,,
"Hmei Thread Co.,Ltd. Of Yibin Sichuan",China,,9,E114,,
Individual entrepreneur Pavel Sergeevich Tumaev,Russia,https://kedrotur.com/,9,В105,,
Individual entrepreneur Sergey Petrovich Kaporin,Russia,https://altai-bondar.ru/,9,B105,,
JSC Corporation Star(GLASSTAR),Russia,glasstar.ru,9,А102,,
Lebiz plastic,Turkmenistan,lebizplastic.com,9,B107,,
Mayeri Industries AS,Estonia,www.mayeri.eu,9,С109,,
Microhim LLP,Kazakhstan,www.microhim.kz,9,A107,,
Niavaran Leather Co,Iran,,9,D103,,
PE Palagin S.E.,Russia,banka-home.ru,9,А105,,
ppmgroup (profitplastmetall),Belarus,ppm.by ,9,С108,,
Razvitie,Russia,https://алтайский-дом.рф/,9,В105,,
SAKURA ELECTRONICS GROUP,Russia,www.sakura-dt.com,9,С105,,
"ZPI Alternativa, LLC",Russia,https://www.alternat.ru/,9,С106,,
Борисовский завод Металлист,Belarus,WWW.GALA.BY,9,С111,,
Гласс Инк,Russia,,9,А104,,
Завод металлических изделий,Russia,zmi.su,9,B110,,
Костанайский завод РТИ,Kazakhstan,,9,А106,,
Узбекская керамика,Kazakhstan,,9,E109,,
Холдинг БелОМО,Belarus,belomo.by,9,А103,,
