id,Title,Country-City,url,Phone,Email,Website,Instagram,Linkedin,WhatsApp,Facebook,YouTube,Telegram,Vkontakte,Twitter,Viber
1,A.KORZILIUS INTERBAU,Germany - Ransbach-Baumbach,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0c0472460617d34a85280187ecded518,+49 (0)2623 - 896 0,info@interbau-blink.de,www.interbau-blink.de,https://www.instagram.com/interbau_blink/,https://www.linkedin.com/company/interbau-blink/,,,,,,,
2,ABSOLUT DECK,Russia - Ufa,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee2f4fdc96673c,7(347)274-22-74,absolut-deck@yandex.ru,www.absolut-deck.ru,absolutdeck_ufa,,,,,,,,
3,ABSOLUTE DEFENCE DISTRIBUTION,Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee2c78aa770664,+7 7182 74 20 32,sales@adding.kz,www.adding.kz,https://www.instagram.com/adding.kz/,,+7 707 481 0867,,,,,,
4,ACERO BUILDING SYSTEMS,United Arab Emirates - Dubai,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x32c3d79d674fe7419f1672f614bf8624,+97148931000,marketing@acero.ae,acero.ae,,https://www.linkedin.com/company/acero-building-systems/mycompany/,,https://www.facebook.com/profile.php?id=100086609227894,https://www.youtube.com/@acerobuildingsystems7602,,,,
5,AGAMA-STROI LLC,Russia - pgt. Privolzhskiy,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x861b87e57411594e9143346dba9c797f,+7-987-271-99-83,agama-s@yandex.ru,www.agama-stroi.ru,,,,,,,,,
6,AGRAN,Kazakhstan - Uralsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81b0e1ea19133b4cb0e7f646b5e66178,+ 7 (7112) 93 33 00,info@agran.kz,agran.kz,@agran.kz,,,,,,,,
7,AGROSTROI,Russia - Novosibirsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x413f7577b484744387710b5edbf2a859,+7-952-939-00-89,79529390089@mail.ru,agrostroi54.ru,,,,,,https://t.me/forcemetall54,VK: https://vk.com/forcemetall,,
8,AKFA GROUP OF COMPANIES,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1c03d774da8852429bb3b07cbfe938d3,+77024829933,Aziz.Abdusattarov@akfagroup.com,www.akfagroup.com,@akfa_kz,AKFA,,AKFA Kazakhstan,AKFA Group,@AKFAGROUP_Official,,,
9,AKS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee422509fb900d,+77013015078,info@aks.kz,aks.kz,aks_okna,,+7 701 301 5078,,АКС Казахстан,,,,
10,ALUMINSTROY,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3de613e07c6473468b7545aeeb0cc947,+7 (495) 212-9221,info@aluminstroy.ru,www.aluminstroy.ru,,,,,https://www.youtube.com/@aluminstroy_ru,https://t.me/aluminstroy,VK: https://vk.com/aluminstroy_ru,,
11,ANHUI AFULISE CONSTRUCTION TECHNOLOGY CO.,China - Anhui,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x07f5ea92a3f86b4bbe995bcd0459334f,86-18655467097,robin@afulise.com,www.afulise.com,,,,,,,,,
12,ANHUI YUDA TOOLS CO.,China - Anhui,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2df114a83985c846af58acec1b2c4f3f,86-556-6020085,1093518711@qq.com,www.ahyuda.com,,,,,,,,,
13,ANJI ZHENGYUAN WPC DECORATION MATERIAL CO.,China - Huzhou,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0402b60bf708ce4095c9f3a0d3852929,0086-572-5300598,thomas@zjwpc.com,www.zjwpc.com,,,,,,,,,
14,ANMOPYC,Spain,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb6e3d9b8ce77aa42935ec3c668a3d519,,,,,,,,,,,,
15,ANNC CONSTRUCTION,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815fd72d4048f5ef11ee213cab6832f3,+7-775-567-15-56,info@annc.kz,annc.kz,https://www.instagram.com/annckz/?igshid=YmMyMTA2M2Y%3D,,+7-701-012-63-55,,,,,,
16,AQUAGAS PLASTIC INDUSTRIES,United Arab Emirates - Dubai,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8ffd63596dab314483645ad0076eb791,+97148829588,export@aquagasdxb.com,www.aquagasplastics.com,,https://www.linkedin.com/company/aquagasplasticindustries,00971544451383,,,,,,
17,ARBOR NOVA,"Russia - Siversky, Gatchina district, Leningrad region",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x24894e5341535c40a86d16ab87156a9c,+7 911 0001340,info@arbor-nova.ru,www.arbor-nova.ru,https://www.instagram.com/arbor_nova/,,,,,,VK: https://vk.com/arbor_nova,,
18,ARSI GROUP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x79b91d3caca9434b8e63da9f7ff84336,+7 727 327 63 17,info@arsi.kz,arsi.kz,https://www.instagram.com/arsi_group/,,,,,,,,
19,ART ROOFS,Germany,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x46c254b8dbb37e45a3d316d3e3692a8d,,,,,,,,,,,,
20,ARVEN SHADING SYSTEMS,Turkey - Nevsehir,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9c8a4271858b5a478eb62e2f47df2377,00905359707171,bilgi@arvenaydinlatma.com.tr,www.arvenaydinlatma.com.tr,https://instagram.com/arven_aydinlatma?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,,00905359707171,https://www.facebook.com/profile.php?id=100074413691852&mibextid=ZbWKwL,,,,,
21,ASG,Kazakhstan - Aktobe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa60c75655bb06c49ad4bfee5df06ad7a,+7 747 808 00 00,asg2000@asg.kz,www.asg.kz,asg.qz,,+7 701 304 77 58,,,,,,
22,ASIA CUANON,China - Urumqi,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0a5d30e560880c49add783af7afa1933,0086+0991+3817875,xhong@cuanon.com,www.cuanon.com,,,,,,,,,
23,ASPAN PROF,Kazakhstan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b70f3b3b38a,,,,,,,,,,,,
24,ATMIA MADE IN AZERBAIJAN,Azerbaijan - Abseron,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0631110f4dbbe54e9701c577d539bf70,"+994 12 404 14 34, +994 50 232 07 81",SSari@matanata.az,atmia.az / matanata.az,,,,,,,,,
25,"AUTONOMOUS NON-COMMERCIAL ORGANISATION ""THE EXPORT SUPPORT CENTER OF THE REPUBLIC OF BASHKORTOSTAN""",Russia - Ufa,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc4f81d05593e934f99318bffbd4be8d1,+7 (347)246-68-16,devyatkina.ov@bashkortostan.ru,,,,,,,,,,
26,AVANGARD,Kazakhstan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee422509fb900b,,,,,,,,,,,,
27,AVERS,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x88445e50ca9fd045baa2c38800db41ad,+7 7172 768 000,info@avers.kz,avers.kz,avers_a,,+7 701 911 0070,aversastana,,,,,
28,AZAG,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5ae67f58a5b3fb4689c8f867adb66d7d,+77760001782,bdm@azag.kz,"azag.kz, mbi.kz, azagtools.kz",https://instagram.com/azag.kz?igshid=MzRlODBiNWFlZA==,,https://wa.me/77717181860,,https://youtube.com/@gasblock01,,,,
