id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,YouTube,Telegram,Vkontakte,Linkedin,Twitter,WhatsApp,Viber
1,"ABICEIA, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xca15e6be73633541a355b35ce9583f3c,+7 747 825 35 59,zakaz@abiceia.kz,www.abiceia.kz,https://www.instagram.com/abiceia_/,https://www.facebook.com/abiceia,https://www.youtube.com/@user-un9wr9wt8f,https://t.me/abiceia,VK: https://vk.com/abiceia,,,,
2,"ABRIS+, LTD",Russia - St.-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x287bd742661d8b4aa4a85bf1f46681e2,+7 (812) 740-19-92,abris@abrisplus.ru,www.abrisplus.ru,,,,,VK: https://vk.com/abrisclub,,,,
3,"ABSOLOGY CO., LTD",South Korea - Anyang-si,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x22c118f138acf44aa9daab33af5cdeb2,+82 31 348 8686,loganlee@absology.co.kr,www.absology.co.kr,,,https://www.youtube.com/@absology2474,,,https://www.linkedin.com/company/absology-co-ltd/,,,
4,"ABUTSEL, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xdab2efe41516f94d994a5d9cbdc9908a,87011774132,abutsel@internet.ru,,,,,,,,,,
5,"ACCU-ENERGO, LLC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x18a0f14ef5cbb749bc25f38933cdeebd,+77172725156,info@accu-energo.kz,www.accu-energo.kz,,,,,,,,,
6,ACE MEDICAL,South Korea - Seoul,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xeb9aafd89f680f4d845ee2e638762d4d,+821081815243,jhlee7@ace-medical.co.kr,www.ace-medical.com,,,https://www.youtube.com/@acemedical9799,,,https://www.linkedin.com/company/ace-medical-co-ltd/,,,
7,ACEA,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x53d84ffd92fa4a4bbfaddda9e126d945,+7 (495) 409-98-79,office@acearussia.com,www.acearussia.com,,,,,VK: https://vk.com/acearussia,,,,
8,"ACON LABORATORIES, INC.",United States of America - California,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xaacfabb44963c04785195873f445f6f1,+86-13968051603,valya.yang@aconlab.com.cn,www.aconlabs.com,https://www.instagram.com/aconbiotech?r=nametag,https://www.facebook.com/acon.biotech.77,https://youtube.com/channel/UCEfukk6yzhgBQ1Z17QX7Jdg,,,https://www.linkedin.com/company/acon-biotech,https://twitter.com/AconBiotech?s=09,,
9,"ADAMANT GROUP, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb87a7a809e2b8c4daf54474381b98b4a,+7(727)225-88-50,"lab@adamant.kz, info@adamant.kz, med@adamant.kz",www.adamant.kz,@adamant_kz,,,+77000258850,,,,+77000258850,
10,ADVALANGE,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x20102cc767723e488e3009c1f19284d7,+7 499 350 25 99,info@advalange.ru,www.advalange.ru,,,,,,https://ru.linkedin.com/company/advalange,,,
