id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,YouTube,WhatsApp,Telegram,Linkedin,Vkontakte,Twitter,Viber
1,AV GROUP,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8161cef8ebd4913f11ee3731b68a1302,+7 7212 25 96 90,ekaterina.kulikova@avgroup.kz,,,,,,,,,,
2,BUSINESS SWEDEN,Швеция - Fagersta,https://reg.iteca.kz/list/detailsfull.aspx?link=0x39b7f25481a796478e4979a4b886d692,+254 745 234 735,supplierinvoice@business-sweden.se,www.business-sweden.com,,,,,,,,,
3,ОРИКА-КАЗАХСТАН АО,Казахстан - Усть-Каменогорск,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc090307435b0,+7 7232 224953,office-kz@orica.com,www.orica.com,,,,,,,,,
4,АК-НИЕТ БУРГА,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0xc9243f5825f3ba45989825732216d439,+7 701 787 91 91,info@anb.kz,www.anb.kz,@aknietburga,AK-NIET BURGA,AK-NIET BURGA Drilling Company,+77017879191,,,,,
5,A.R.S ENGINEERING SOLUTION- LTD,Израиль - Yiftah,https://reg.iteca.kz/list/detailsfull.aspx?link=0xecc6eb01078d9145a4ca04e3f5059771,+7 777 448 00 44,dayan.m@aquaroyalspring.com,www.aquaroyalspring.com,,,,,,,,,
6,ABB,Швеция,https://reg.iteca.kz/list/detailsfull.aspx?link=0x097bbb0eebfc1149bf3c29ae9c258097,,,,,,,,,,,,
7,"ACE & E CO.,LTD.",Южная Корея - ULSAN,https://reg.iteca.kz/list/detailsfull.aspx?link=0xbe7c935d34b2bf4685eab268b4728cd8,+82 52 258 4560,peentec3000@hanmail.net,www.kacene.co.kr,,,,,,,,,
8,"AG TECH, ТОО",Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162972d8511bb3911ee4d8a173c7580,8 7172 47 28 46,info@ag-tech.kz,www.ag-tech.kz,,,https://www.youtube.com/@AG-TECH/videos,+7 702 287 97 97,+7 702 287 97 97,,,,
9,AIMI AUTOMATION,Казахстан - Almaty,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162972d8511bb3911ee511bf301c752,+77014447735,Sales@aimi-automation.com,Zhanibek Yeskendir,https://instagram.com/aimi.automation.services?igshid=YTQwZjQ0NmI0OA==,,,,,,,,
10,"AIMIX GROUP CO.,LTD",Китай,https://reg.iteca.kz/list/detailsfull.aspx?link=0x9d4a220f0dcd7c4a80a927a1296598ed,,,,,,,,,,,,
11,AIQARA ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162bd396bc9787911ee3dae35c86531,+7 707 117 15 24,aiqara19@mail.ru,,,,,https://wa.me/77071171524?,,,,,
12,ALFA LAVAL,Швеция,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162bd396bc9787911ee462413733cfd,,,,,,,,,,,,
13,ALIA INSTRUMENTS BV,Нидерланды - Enschede,https://reg.iteca.kz/list/detailsfull.aspx?link=0x09358d156c84ac419b443385560693c8,+31 (0) 85 77 31 436,j.peters@aliainstruments.com,www.aliainstruments.com,,,https://www.youtube.com/@aliainstruments3206,,,https://www.linkedin.com/company/18163861/admin/feed/posts/,,,
14,ALIDADA,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162972d8511bb3911ee4d8a173c757b,+7 727 349 30 57,info@alidada.kz,www.alidada.kz,https://instagram.com/alidada_engineering?igshid=MzRlODBiNWFlZA==,,https://youtube.com/@alidada_engineering?si=EKZfDswZnFjmo2Ix,,,,,,
15,"ALPHA-SAFETY, ТОО",Казахстан - Усть-Каменогорск,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f02,+7 7232 492240,sales@alpha-safety.kz,www.alpha-safety.kz,https://www.instagram.com/alphasafetyllp/,https://www.facebook.com/alphasafetyllp,,,,https://www.linkedin.com/company/alpha-safety-llp,,,
16,ALTEL BUSINESS,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee2f8076a7070e,+7 700 800 08 80,altelinfo@altel.kz,www.altel.kz/new,https://www.instagram.com/altel_kz/,https://www.facebook.com/ALTEL4GGSM,@ALTEL5G,+7 700 800 0880,https://t.me/AltelKazakhstan_bot,,,,
17,"AMBETTER MACHINERY CO.,LTD",Китай - Zhengzhou,https://reg.iteca.kz/list/detailsfull.aspx?link=0xc1fd9fe6adb4fb42b91921a6e6310014,+8618695858761,info@ambetter.ru,www.ambetter.ru,https://www.instagram.com/ambetter_group/,https://www.facebook.com/AmbetterGroup/,https://www.youtube.com/@ambettermachineryco.ltdchi2678,+8618695858761,+8618695858761,,ВКонтакте: https://vk.com/ambettermachinery,,
18,AMIS,Южно-Африканская Республика - Johannesburg,https://reg.iteca.kz/list/detailsfull.aspx?link=0xec78b5094c3ee240a5a43f26555948e6,+27 119230800,siyanda@amis.co.za,www.amis.co.za,https://www.instagram.com/myfriend_myamis/,,,,,https://www.linkedin.com/company/amis,,,
19,ANDRITZ,Австрия - Грац,https://reg.iteca.kz/list/detailsfull.aspx?link=0x248d8eb024781c409c87228fc012d6f5,+43 50805 0,separation@andritz.com,www.andritz.com/separation-en,,,https://www.youtube.com/@ANDRITZGROUP,,,https://www.linkedin.com/company/andritz-separation/,,,
20,ANMOPYC,Испания - ZARAGOZA,https://reg.iteca.kz/list/detailsfull.aspx?link=0xd240691aec511c41ab041d5f7995bcf6,+34 976 227 387,INFO@ANMOPYC.ES; ASAENZ@ANMOPYC.ES,www.anmopyc.es/es,,,,,,https://es.linkedin.com/company/anmopyc,,,
