id,Title,Country-City,url,Phone,Email,Website,Instagram,YouTube,Telegram,WhatsApp,Facebook,Linkedin,Twitter,Viber,Vkontakte
1,HIKVISION,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18efe,+7 727 973 06 67,info@hikvision.kz,www.hikvision.com,https://www.instagram.com/hikvision_qazaqstan/,https://www.youtube.com/@hikvisioncatc9355,https://t.me/HikPartner_Kazakhstan,,,,,,
2,ABSOLUTE DEFENCE DISTRIBUTION LLC,Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18efc,+7 7182 74 20 32,sales@adding.kz,www.adding.kz,https://www.instagram.com/adding.kz/,,,+7 707 481 0867,,,,,
3,AJAX SYSTEMS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7c1fe83c0f429549aaa43aa9b059379a,+7 701 493 52 45,repryntsev.a@ajax.systems,www.ajax.systems,https://www.instagram.com/ajax_systems/,@AjaxSystems,@AjaxSystemsSupport_Bot,87014935245,https://www.facebook.com/ajax.systems/,https://www.linkedin.com/company/ajax-systems/,https://twitter.com/ajax_systems,87014935245,
4,ARMEKS LLP,Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf384c1ab6d117744a4e65665604885a0,+7 7182 53 70 70,info@armeks.kz,www.armeks.kz,https://www.instagram.com/armekspv/,https://www.youtube.com/@armeks,,+7(705) 707-52-11,,,,,
5,ABSOLUTE DEFENCE DISTRIBUTION LLC (BASTION),Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18efd,+7 7182 74 20 32,sales@adding.kz,www.adding.kz,https://www.instagram.com/adding.kz/,,,+77074810867,,,,,
6,BIOSMART,Russia - Yekaterinburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3ab,+7 343 356 51 11,sale@bio-smart.ru,www.bio-smart.ru,https://instagram.com/biosmart_biometrics,https://www.youtube.com/@biosmart8098,https://t.me/+TlP1PY6coQ1kOWUy,,,,,,VK: https://vk.com/prosoft_bio
7,SECURITY MAGAZINE,Russia - Chelyabinsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x27d29c442efaf44988350a8543fcbf6e,7 90907 0790277,an-ma_media@mail.ru,http://www.securportal.ru/,,,,,,,,,
8,EPOTOS GROUP OF COMPANIES,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815a7aeea421bb3d11edd120067b2d5d,+7 495 916 61 16,info@epotos.ru,www.epotos.ru,https://www.instagram.com/epotoss/,,,,,,,,VK: https://vk.com/epotos
9,EXPORT SUPPORT CENTER OF THE OMSK REGION,Russia - Omsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f01,+7 3812 95 77 75,export@ved55.ru,www.ved55.ru,,,,,,,,,
10,FERROOM,Kazakhstan - Aktobe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815bee9e547c99a811edd78a39e485c0,+7 777 732 77 35; +7 707 294 99 66,market@ferroom.kz,www.ferroom.com ; www.ferroom.kz,"@ferroom_101, @ferroom_shop",,,+7705 771 11 33,,,,,
11,"SHENZHEN GANGSHAN GUANGLIAN ELECTRONICS TECH CO.,LTD",China - SHENZHEN,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x36f620f12a8dd545953e084595403700,86-15118106922,Andrew@szqunanjie.com,www.sggsecurity.com,,,,86-15118106922,,,,,
12,IMPEKS GROUP LLC,Russia - Omsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3aa,+7 3812 38 61 63,info@impeks-group.ru,www.impeks-group.ru,,,,,,,,,
13,INSYRES,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3a8,+7 495 120 22 01,"marketing@insyres.ru, info@insyres.ru","www.insyres.ru, visitorcontrol.ru",,https://www.youtube.com/@visitorcontrol3416,,,,,,,
14,INTEGRAL PLUS,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815bee9e547c99a811eddd943bc8d19a,+7 800 700 69 53,market@integralplus.ru,,,,,,,,,,
15,"TRADE HOUSE INTANT, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc78c6b4a0427e7479639828844358dc3,"+7 727 225 35 35, +7 727 220 95 31",intant@intant.net,www.intant.kz,https://www.instagram.com/intant_security/,https://www.youtube.com/@intant9058,,,https://www.facebook.com/INTANT.TH,,,,
16,KAZPOZHPROM LLC,Kazakhstan - Aktobe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x19993c1b2165464ebbca59edf3bd500d,"+7 701 537 80 25, +7 702 146 44 78, +7 701 171 54 81",kazpozhprom@gmail.com,www.kazpozhprom.kz,,,,,,,,,
17,LOGITEX-MARKET,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18eff,+7 705 749 79 99,INFO@LOGITEX.KZ,www.lgx.kz,@logitex_market_kz,,,+77057497999,,,,,
18,MEDICAL GAS SYSTEMS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815a7aeea421bb3d11edd120067b2d5c,+7 727 221 88 18,info@medicalgas.kz,www.mgs.kz,medgassystem,,,8 7773555573,Medgassystem06,,,,VK: mgs.kz2006
19,OGNEBOREC,Russia - Vologda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3ac,+7 817 251 07 77,510777@bk.ru,,,,+7-921-050-41-50,+7-921-050-41-50,,,,+7-921-050-41-50,
20,PARITET CM,Russia - Podolsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815a7aeea421bb3d11edd120067b2d5a,84959262269,zakaz@paritet.su,www.paritet.su,,,,,,,,,
21,"PROF PAINTS L.T.D., ТОО",Kazakhstan - Talgar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x922155246ead94449f036073bacfe88a,+7 727 329 98 78   +7 700 329 98 78,profpaints@inbox.ru,www.prothermapaints.kz,,,,+7 (700)329 98 78,,,,,
22,"ТОО ""PULSAR SYSTEMS""",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa6c63606d3c1f943a86c26780e1f9f3b,+77172 57-00-71,info@pulsar.kz,www.pulsar.kz,,,,,,,,,
23,RUБЕЖ MAGAZINE,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8a611ef6a988ce4984984caca3321a56,+7 495 539 30 20,info@ru-bezh.ru,www.ru-bezh.ru,,,,,,,,,
24,SPEKTR OOO,Russia - Omsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb352443d0b5fd8478a0618121e03c943,+7 3812 32 53 66,e.lenskaya@spectr-tech.ru,www.strazhpvr.ru,,,,,,,,,
25,"SPKB ""TECHNO""",Russia - Подольск,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5a0c0ac8f834de4a9e15c38036fb082b,+7 499 929 86 75,sale@spkb.ru,,,,https://t.me/spkbtechno,,,,,,VK: https://vk.com/spkb_ru
26,STRADA,Russia - Kirovo-Chepetsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815a7aeea421bb3d11edd120067b2d5b,+7 8332 76 15 34,strada-kcc@kccc.ru,www.finfire.ru,https://instagram.com/fin_fire?igshid=Mzc1MmZhNjY=,https://www.youtube.com/channel/UC6yhnsbRjtyAYZ3mpVpAwuA,,,,,,,VK: https://vk.com/finfire_finfire
27,"TECHNOLOGIES OF PROTECTION, LLC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x324580867c1d0c4ca1f0ade10c0af10a,+7 495 662 8984,tz@tzmagazine.ru,http://www.tzmagazine.ru/,,,,,,,,,
28,THE INDUSTRIAL MAGAZINE  “TEHSOVET PREMIUM”,Russia - Ekaterinburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xab42b6024571a44d83d77451f0acde95,+7 343 287 50 34,natalia@tehsovet.ru,www.tehsovet.ru,,,,,,,,,
29,TP-LINK KAZAKHSTAN,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xdd7610b32865f746a293f81c0330f6bf,"8 727 313 12 59, 8 727 220 73 35",sales.kz@tp-link.com,www.tp-link.com,https://www.instagram.com/tplink_kazakhstan/,https://www.youtube.com/c/TPLinkKazakhstan,,,https://www.facebook.com/tplinkkaz,,,,
30,TRASSIR-ALMATY,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x814cd02cd1f8387811ed4dce140fbbac,+7 727 318 76 76,kz@dssl.ru,www.dssl.kz,https://www.instagram.com/dssl.kz/,https://www.youtube.com/channel/UCNQvqAxH7IEqA2veci6jUQQ,,,,,,,
31,ТЕКО,Russia - Kazan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f00,+7 843 528 03 69,export@teko.biz,www.teko.biz,,,,,,,,,
32,"TRADING COMPANY ""ELEKTROTEKHNIKA I AVTOMATIKA"" LLC",Russia - Omsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3a9,"+7 381 235 81 50, +7 381 235 81 60",info@omelta.com,www.luch-s.com; www.omelta.com,,https://www.youtube.com/channel/UCmgNg3oL239QMrHQte8994g,,,,,,,
