id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,Telegram,WhatsApp,Viber,Linkedin,YouTube,Twitter,Vkontakte
1,A.T. TRADING SP. Z O.O.,Poland - Zbuczyn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x95a3bfb27f63ec4c8d45bc1d3dc2dea7,+48512949778,adrian@attrading.eu,www.attrading.eu,at.trading,Attrading Firma Transportowa,+48 512 949 778,+48 512 949 778,+48 512 949 778,,,,
2,"ADY EXPRESS, LLC",Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd8f39e3321fa064d98d548f4c4212df4,+99412 599 66 76,ilham.abdulov@adyexpress.az,www.adyexpress.az,https://www.instagram.com/adyexpress.az/,https://www.facebook.com/adyexpress,,,,https://www.linkedin.com/company/7954161,https://www.youtube.com/channel/UCGDZ_zk3XerreZCnREl4X6A,https://twitter.com/AdyExpress,
3,AIR ASTANA,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb0f8754e7f0cba48a2f04d6b8b88fd87,+7 727 356 09 50,cargo@airastana.com,www.airastana.com,Air Astana,Air Astana,Air Astana,Air Astana,Air Astana,Air Astana,Air Astana,airastana,
4,"AKTAU MARINE NORTH TERMINAL, LLP",Kazakhstan - Aktau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3a348ee927300a44889e0d8a505fed00,+7 (7292) 203878,office@amnt.kz,www.amnt.kz,,https://www.facebook.com/amnt.kz,,,,,,,
5,"ALLIANCE LOGISTICS, LLC",Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x197a61109caa0345a9efd26d532bfa23,+994125991139,"office@alliance.net, info@alliance.net",www.alliance.net,,,,,,,,,
6,ALLIANCE MULTIMODAL,Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2e4d14516554e748a829c8d0e27ffa47,+994 12 599 11 39,,www.alliance.net,,,,,,,,,
7,"ALMATY CONSOLIDATION CENTER, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbc84a69549999b4485034967de007b98,+7 700 029 29 58,project@consolidation.kz,www.consolidation.kz,www.instagram.com/almatyconsolidation,,,,,www.linkedin.com/company/94231905,,,
8,"ALMATY INTERNATIONAL AIRPORT, JSC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x90824cc07a9ce145aada961714470ae8,+7 (727) 388 30 91,info_ala@tav.aero,www.alaport.com,https://www.instagram.com/almatyinternationalairport/,https://www.facebook.com/alaportofficial,,,,https://www.linkedin.com/in/almaty-airport/,,,
9,"ANGAT, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5a9031131344a341a893c0b2b06d0f6d,8727-220-93-30,info@angat.kz,www.angat.kz,too_angat,,,,,,,,
10,APS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6a22dce66eb7654fbbbb806b6f1019d0,+77059818527,sveiko.alexandr@aps-solver.com,,,,,,,,,,
11,ARIJUS UAB,Lithuania - Klaipeda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd16edb8dfbfcf44e987485d833194e93,+37046310547,info@arijus.lt,www.arijus.com,https://www.instagram.com/arijus_group/,https://www.facebook.com/Arijusuab/,,,,https://www.linkedin.com/company/uab-arijus/,,,
12,"ARLAN TRANS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x84f4e85fdf4f7c4182e82ba65d8375ec,+77273560518,info@arlantrans.kz,www.arlantrans.kz,,,,,,,,,
13,"ASIA KS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf62c3503a130a345b2d9057241f99c98,+7 7785245895,zam@komplektsib.ru,,,,,,,,,,
14,ASSOCIATION OF INDIVIDUAL ENTREPRENEURS AND LEGAL ENTITIES IN THE FORM OF THE UNION «UNION OF AUTOMOBILE CARRIERS AND FREIGHT FORWARDERS OF KAZAKHSTAN»,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3f2db1b5375a4c4cabda97b035382673,+7 727 225 22 30,sapek.kz2023@gmail.com,www.sapec.kz,@sapek.kz,,,+7 701306 9316,,,@sapek_asia,,
15,ASSOCIATION OF NATIONAL EXPEDITORS OF THE REPUBLIC OF KAZAKHSTAN,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb28412bf9d369049abc2bdf4364d06d1,+77272610138,info@kffanek.kz,www.kffanek.kz,,,,,,,,,
16,ASSTRA ASSOCIATED TRAFFIC AG,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc5e422f38450d348956481eaeb3a5987,+7 727 339 50 05,almaty@asstra.com,www.asstra.kz,https://www.instagram.com/asstra_associated_traffic_ag/,https://facebook.com/asstracom/,,,,https://www.linkedin.com/company/asstra-ag,https://www.youtube.com/user/asstracompany,,
17,ASTYK TRANS JSC,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x024b2dfc9d87c3419fabbcd0d86a31af,"+7-( 7172 )-72 99 07, +7-( 7172 )-24 85 80",info@astyktrans.com,www.astyktrans.kz,,,,,,,,,
18,"ATASU GROUP, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf7c8a74d7a3db84ab2e5494de0848398,8 (7272) 20 75 75,info@atasugroup.com,www.atasu.kz,https://instagram.com/atasu_group?igshid=MzRlODBiNWFlZA==,https://www.facebook.com/atasugroup/,,+77010818662,,https://www.linkedin.com/company/atasu-group/mycompany/,https://www.youtube.com/channel/UCQLdXZEizRFvf3g293NUSLg,,
19,ATI.SU FREIGHT EXCHANGE,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0ab4b1d35a313144a10228160c3fd2da,+7 (727) 327-08-41,renata.z@ati.su,www.ati.su,https://www.instagram.com/birzha_ati.su_asia,https://www.facebook.com/profile.php?id=100089842205475,https://t.me/birzha_atisu,,,,https://www.youtube.com/@ati_su,,VK: https://vk.com/ati_su_aziya
20,ATVLOGISTIC LLP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa197d50c6c7f7141bd17045ca3750f7a,"+7 (727) 3450561, +7 777 8226628",kaz@atvl.kz,www.atvl.kz,,,,+7 777 822 6628,,,,,
21,AUTARE JSC,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf026e79269dcae48a4f54e7b5f77c70e,+37061144772,juste@autare.lt,www.autare.lt,,,,,,,,,
22,AXELOT,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5283e766207a744cbfbd0080a004cd19,+7 (495) 9612609,info@axelot.ru,www.axelot.ru,,https://www.facebook.com/AXELOT.Company,https://t.me/axelot_ru,,,https://www.linkedin.com/company/9703746,https://www.youtube.com/user/AXELOTvideo,,VK: https://vk.com/axelotofficial
23,"AZLOGISTA, LLC",Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x198664f0a1cc514ab6a34218506b02dc,+994 55 840 38 64,sales2@azlogista.az,www.azlogista.az,,,,,,,,,
24,"ALFERT, LLC",Kazakhstan - Алматы,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe055575d47a73e4883fedea560b9e186,+77772104974,asya@alfert.kz,www.alfert.kz,alfert.kz,alfert.kz,,+7 771 780 2550,,alfert.kz,,,
25,BALTFORWARD,Estonia - Maardu,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc12c968963df22469a24b7b2ceed7331,+372 6 210 300,info@baltforward.eu,www.baltforward.eu,,,,,,,,,
26,BALTIC CARGO AGENT,Lithuania - Klaipeda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf2c300cf0b52d843b2d35edc89142068,+370 6 209 0027,info@bca.lt,www.bca.lt,,,,,,,,,
27,BAT EXPORT LLP,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5c14aa1f3affbb44b3c6b907a02ac09e,+7 771 8600677,info@bat-export.com,,,,,,,,,,
28,BEHINEH TARABAR AZHOUR,Iran - Tehran,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf068d6387ecc63428f08f4c21f76cdce,+98 21 88757804; +98 9128407699; +98 9128231844,Azhour.bt@gmail.com,www.btarai.com,,,,,,,,,
29,BEIJING TRANS EURASIA INTERNATIONAL LOGISTICS LTD,China - Beijing,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x584fe43f430b324c8ece7c9e172e394b,86-010-5166 0681,jinn@trans-euraisa.com,www.trans-eurasia.com,,,,,,https://www.linkedin.com/company/beijing-trans-eurasia-international-logistics-co-ltd/mycompany/,,,
30,BELARUSIAN RAILWAY,Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9440489b9e944044ab2fd6587bbe5fd2,"+375 (17) 225-92-24, +375 (17) 225-04-16",container@rw.by,www.rw.by,,,,,,,,,
31,BELINTERTRANS-GERMANY GMBH,Germany - Friedrichsdorf,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8bd9f681016d614f8223363c514afe52,+49 6172 / 98 19 18 2,info@belint.de,www.belint.de,,,,,,,,,
32,"BIRLIK KERUEN, INTERNATIONAL LOGISTICS COMPANY",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x48ba2fc6456af94ba92a9b96de0728c6,+77472960529,birlikkeruen@gmail.com,www.birlikkeruen.kz,,,,+7 777 066 6069,,,,,
33,"BUNASTA, UAB",Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x26dd21910d64b148945157c907db6958,+370 658 82272,info@bunasta.eu,www.bunasta.eu,,https://www.facebook.com/Bunasta,,,,https://www.linkedin.com/company/bunasta/,,,
34,CAMEL ALLIANCE INTERNATIONAL LOGISTICS LIMITED,China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6129b15ab3cd3948a1bd2321908daabd,(+86)17545546076,anton@camelalliance.com,www.camelalliance.com,,,,(+86)17545546076,,,,,
35,CARAVAN LOGISTICS,Kyrgyzstan - Bishkek,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd389acf62f073e4998a5320847dcdd82,+996 555 113 333,info@caravan-logistics.com,www.caravan-logistics.com,,,,,,,,,
36,CF&S ESTONIA,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x75cab869bc74df40a4ff4c94bb1cf8e4,+3726664400,cfs@cfs.ee,www.cfs.ee,https://www.instagram.com/cfs_logistics_group/,https://www.facebook.com/cfslogistics,,,,https://www.linkedin.com/company/3492083/admin/feed/posts/,https://www.youtube.com/@cfsgroup7763/videos,,
37,"CHINESE SHI XIN SMART LOGISTICS CO., LTD",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x046dc0010000cf4996e38861dc59b519,+7 964 595-49-38,,www.china-logistika.ru,,,,,,,,,
38,CITY UNION LOGISTICS,China - Shanghai,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe9e68c7e56959946a14ce9163786f473,+86-021-51186967,,,,,,,,,,,
39,"CONTI-FAR LOGISTICS CO.,LIMITED",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7ffa71b886cb2e4d886b740b4ac3a91c,075589379122,leon@contifar.com;alina@contifar.com,www.contifar.com,,,,+8613823278065;+8613590123605,,,,,
40,"COTTON LOGISTICS, LLC",Uzbekistan - Tashkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x97d9ff7e779adb4eac15f7fba8c5727d,+998 71 2077017,info@cotton-logistics.com,,,,,,,,,,
41,CREAFIN ESTONIA,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3dadeb6807c9b541a4ca46e034f20a9c,+372 6069180,maksimov@creafin.eu,www.creafin.eu,,,,,,,,,
42,CTM LLC,Russia - Saint Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xfcd21b65362e1f41a4bb9c6b05cef3fe,+7 (812) 325-97-47,info@ctm.ru,www.ctm.ru,,,,,,,,,VK: https://vk.com/ctm_ru
43,"DAOBIT, LLC",Russia - Saint Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf7af35d3ae27834599d4f6da4ff3a7ce,-,,,,,,,,,,,
44,DATALOGIC,Italy - Bologna,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0ee35b154b015147a281693b11bece33,"+39 051 3147 274, Mоб: +39 342 929 2216",Yuliya.Kraeva@datalogic.com,www.datalogic.com,https://www.instagram.com/datalogicgroup,https://www.facebook.com/DatalogicGroup,,,,,https://www.youtube.com/user/DatalogicGroup,https://twitter.com/DatalogicGroup,
45,DB CARGO EURASIA GMBH,Germany - Berlin,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x60ab02a187400d4e9c844b65d5bed6a2,+49 30 297-54804,svetlana.rudakova@railion.ru,www.eurasia.dbcargo.com,,,,,,,,,
46,DELAMODE BALTICS,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6d1631b930149d458b9e3b2b49760a04,+370 6 188 2931,info.lt@delamode-group.com,www.delamode-baltics.com,www.instagram.com/delamodebaltics/,www.facebook.com/Delamode.Baltics,,,,www.linkedin.com/company/delamode-baltics,www.youtube.com/@delamodebaltics_official,,
47,DESTAN HEAVY TRANSPORT & LOGISTICS,Turkey - Istambul,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x47e596aadc76fb4a88daed5bb7250440,(+90) 444 4 008,rboz@destantransport.com,www.destantransport.com,https://www.instagram.com/destanheavy/,https://tr-tr.facebook.com/people/Destan-Transport-lojistik/100063753301698/,,,,https://tr.linkedin.com/company/destan-tr,,,
48,"DLG, JSC",Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x840639bf26022245a9560d2ab37ddf8e,+370 5 2320000,info@dlg.lt,www.dlg.lt,,DLG - Logistics Group,,,,DLG Logistics Group,,,
49,"DONGGUAN CHIYU SUPPLY CHAIN CO., LTD",China - Dongguan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xeca925017bf1bd47935f4a40f5d45add,+86-0755-86199305,marketing@vasttalogistics.com,www.vasttalogistics.com,,,,+8618938649453,,,,,
50,"EAGLEWAY, LLC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xde320c430965f14d8f007cced63a726e,+77089130403,info@eagleway888.com,www.eagleway888.com,eagleway_888,,+770848467881,+77089130403,,,@eaglewaycargo1252,,
51,EASTCOMTRANS LLP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4143fbe9161bdd478919d6d5c5e92c70,+ 7 (727) 355-51-11,eastcom@ect.kz,www.ect.kz,https://www.instagram.com/eastcomtrans/,https://www.facebook.com/EASTCOMTRANS-110410241234404,https://t.me/eastcomtrans,,,,,,
52,"EMEX, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa23bb682d0609b4890f75d4bc199e9de,+77273563800,info@emexnet.com,www.emex-global.com,https://www.instagram.com/emexkz,https://www.facebook.com/emex.kz.company,https://t.me/EMEX_express_bot,,,,,,
53,ESTONIAN RAILWAYS LTD,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x250f9a377a82aa4e97068c304d5e814c,+3725076401,mart.haugas@evr.ee,www.evr.ee,,,,,,,,,
54,ESTONIAN STAND,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5a2b63613c1ec043ba054b3477a1b812,+3725058439,bmc@bmc.ee,www.transit.ee,,,,,,,,,
55,"EUROTRANS GROUP, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x723a91f7cc433a4e9911ede66601fca4,+7 717 2 573 888,info@eurotrans.kz,www.eurotrans.kz,etg_capital,ЕТГ Капитал,,,,,ЕТГ КАПИТАЛ,,
